time_seconds,time_hours,total_power,氢燃料电池_power,氢燃料电池_SOC,氢燃料电池_energy,铁硫电池_power,铁硫电池_SOC,铁硫电池_energy,钠电池_power,钠电池_SOC,钠电池_energy,钒液流电池_power,钒液流电池_SOC,钒液流电池_energy
0,0.0,-100.0,-60.0,75.0,150.0,-5.0,86.0,86.0,-30.0,92.0,92.0,-5.0,82.0,82.0
1,0.0002777777777777778,-100.0,-60.0,75.00791666666667,150.01583333333335,-5.0,86.00127777777777,86.00127777777777,-30.0,92.00816666666667,92.00816666666668,-5.0,82.00125,82.00125
2,0.0005555555555555556,-100.0,-60.0,75.01583333333335,150.0316666666667,-5.0,86.00255555555555,86.00255555555556,-30.0,92.01633333333334,92.01633333333334,-5.0,82.0025,82.0025
3,0.0008333333333333334,-100.0,-60.0,75.02375000000002,150.04750000000004,-5.0,86.00383333333332,86.00383333333332,-30.0,92.0245,92.0245,-5.0,82.00375,82.00375
4,0.0011111111111111111,-100.0,-60.0,75.0316666666667,150.0633333333334,-5.0,86.00511111111109,86.00511111111109,-30.0,92.03266666666667,92.03266666666667,-5.0,82.005,82.005
5,0.001388888888888889,-100.0,-60.0,75.03958333333337,150.07916666666674,-5.0,86.00638888888886,86.00638888888886,-30.0,92.04083333333334,92.04083333333334,-5.0,82.00625,82.00625
6,0.0016666666666666668,-100.0,-60.0,75.04750000000004,150.09500000000008,-5.0,86.00766666666664,86.00766666666662,-30.0,92.049,92.04900000000002,-5.0,82.0075,82.0075
7,0.0019444444444444444,-100.0,-60.0,75.05541666666672,150.11083333333343,-5.0,86.00894444444441,86.00894444444441,-30.0,92.05716666666667,92.05716666666667,-5.0,82.00874999999999,82.00875
8,0.0022222222222222222,-100.0,-60.0,75.06333333333339,150.12666666666678,-5.0,86.01022222222218,86.01022222222218,-30.0,92.06533333333334,92.06533333333334,-5.0,82.00999999999999,82.01
9,0.0025,-100.0,-60.0,75.07125000000006,150.14250000000013,-5.0,86.01149999999996,86.01149999999996,-30.0,92.07350000000001,92.07350000000001,-5.0,82.01124999999999,82.01124999999998
10,0.002777777777777778,-100.0,-60.0,75.07916666666674,150.15833333333347,-5.0,86.01277777777773,86.01277777777774,-30.0,92.08166666666668,92.08166666666668,-5.0,82.01249999999999,82.01249999999999
11,0.0030555555555555557,-100.0,-60.0,75.08708333333341,150.17416666666682,-5.0,86.0140555555555,86.0140555555555,-30.0,92.08983333333335,92.08983333333336,-5.0,82.01374999999999,82.01374999999999
12,0.0033333333333333335,-100.0,-60.0,75.09500000000008,150.19000000000017,-5.0,86.01533333333327,86.01533333333327,-30.0,92.09800000000001,92.09800000000001,-5.0,82.01499999999999,82.01499999999999
13,0.003611111111111111,-100.0,-60.0,75.10291666666676,150.20583333333352,-5.0,86.01661111111105,86.01661111111105,-30.0,92.10616666666668,92.10616666666668,-5.0,82.01624999999999,82.01624999999999
14,0.0038888888888888888,-100.0,-60.0,75.11083333333343,150.22166666666686,-5.0,86.01788888888882,86.0178888888888,-30.0,92.11433333333335,92.11433333333335,-5.0,82.01749999999998,82.01749999999998
15,0.004166666666666667,-100.0,-60.0,75.1187500000001,150.2375000000002,-5.0,86.01916666666659,86.01916666666659,-30.0,92.12250000000002,92.12250000000002,-5.0,82.01874999999998,82.01874999999998
16,0.0044444444444444444,-100.0,-60.0,75.12666666666678,150.25333333333356,-5.0,86.02044444444437,86.02044444444437,-30.0,92.13066666666668,92.1306666666667,-5.0,82.01999999999998,82.01999999999998
17,0.004722222222222222,-100.0,-60.0,75.13458333333345,150.2691666666669,-5.0,86.02172222222214,86.02172222222214,-30.0,92.13883333333335,92.13883333333335,-5.0,82.02124999999998,82.02124999999998
18,0.005,-100.0,-60.0,75.14250000000013,150.28500000000025,-5.0,86.02299999999991,86.02299999999993,-30.0,92.14700000000002,92.14700000000002,-5.0,82.02249999999998,82.02249999999998
